"CBSA","CBSA Code","Date","AQI","Category","Defining Parameter","Defining Site","Number of Sites Reporting"
"Aberdeen, WA","10140","2021-01-01",28,"Good","PM2.5","53-027-0011",2
"Aberdeen, WA","10140","2021-01-02",43,"Good","PM2.5","53-027-0011",2
"Aberdeen, WA","10140","2021-01-03",30,"Good","PM2.5","53-027-0011",2
"Aberdeen, WA","10140","2021-01-04",24,"Good","PM2.5","53-027-0011",2
"Aberdeen, WA","10140","2021-01-05",20,"Good","PM2.5","53-027-0011",2
"Aberdeen, WA","10140","2021-01-06",20,"Good","PM2.5","53-027-2002",2
"Aberdeen, WA","10140","2021-01-07",17,"Good","PM2.5","53-027-2002",2
"Aberdeen, WA","10140","2021-01-08",36,"Good","PM2.5","53-027-2002",2
"Aberdeen, WA","10140","2021-01-09",19,"Good","PM2.5","53-027-2002",2
"Aberdeen, WA","10140","2021-01-10",18,"Good","PM2.5","53-027-2002",2
"Aberdeen, WA","10140","2021-01-11",12,"Good","PM2.5","53-027-2002",2
"Aberdeen, WA","10140","2021-01-12",38,"Good","PM2.5","53-027-0011",2
"Aberdeen, WA","10140","2021-01-13",26,"Good","PM2.5","53-027-0011",2
"Aberdeen, WA","10140","2021-01-14",19,"Good","PM2.5","53-027-2002",2
"Aberdeen, WA","10140","2021-01-15",49,"Good","PM2.5","53-027-2002",2
"Aberdeen, WA","10140","2021-01-16",25,"Good","PM2.5","53-027-2002",2
"Aberdeen, WA","10140","2021-01-17",30,"Good","PM2.5","53-027-2002",2
"Aberdeen, WA","10140","2021-01-18",22,"Good","PM2.5","53-027-2002",2
"Aberdeen, WA","10140","2021-01-19",35,"Good","PM2.5","53-027-2002",2
"Aberdeen, WA","10140","2021-01-20",35,"Good","PM2.5","53-027-2002",2
"Aberdeen, WA","10140","2021-01-21",38,"Good","PM2.5","53-027-2002",2
"Aberdeen, WA","10140","2021-01-22",25,"Good","PM2.5","53-027-2002",2
"Aberdeen, WA","10140","2021-01-23",24,"Good","PM2.5","53-027-2002",2
"Aberdeen, WA","10140","2021-01-24",17,"Good","PM2.5","53-027-2002",2
"Aberdeen, WA","10140","2021-01-25",23,"Good","PM2.5","53-027-2002",2
"Aberdeen, WA","10140","2021-01-26",13,"Good","PM2.5","53-027-2002",2
"Aberdeen, WA","10140","2021-01-27",13,"Good","PM2.5","53-027-2002",2
"Aberdeen, WA","10140","2021-01-28",18,"Good","PM2.5","53-027-2002",2
"Aberdeen, WA","10140","2021-01-29",17,"Good","PM2.5","53-027-2002",2
"Aberdeen, WA","10140","2021-01-30",10,"Good","PM2.5","53-027-2002",2
"Aberdeen, WA","10140","2021-01-31",13,"Good","PM2.5","53-027-2002",2
"Adrian, MI","10300","2021-01-01",42,"Good","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-01-02",20,"Good","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-01-03",23,"Good","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-01-04",30,"Good","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-01-05",57,"Moderate","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-01-06",29,"Good","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-01-07",24,"Good","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-01-08",13,"Good","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-01-09",40,"Good","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-01-10",65,"Moderate","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-01-11",55,"Moderate","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-01-12",61,"Moderate","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-01-13",64,"Moderate","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-01-14",61,"Moderate","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-01-15",46,"Good","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-01-16",34,"Good","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-01-17",26,"Good","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-01-18",34,"Good","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-01-19",43,"Good","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-01-20",32,"Good","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-01-21",16,"Good","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-01-22",17,"Good","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-01-23",22,"Good","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-01-24",38,"Good","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-01-25",59,"Moderate","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-01-26",44,"Good","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-01-27",18,"Good","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-01-28",12,"Good","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-01-29",25,"Good","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-01-30",38,"Good","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-01-31",36,"Good","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-02-01",28,"Good","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-02-02",13,"Good","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-02-03",22,"Good","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-02-04",61,"Moderate","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-02-05",33,"Good","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-02-06",40,"Good","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-02-07",29,"Good","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-02-08",37,"Good","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-02-09",53,"Moderate","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-02-10",52,"Moderate","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-02-11",33,"Good","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-02-12",42,"Good","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-02-13",52,"Moderate","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-02-14",46,"Good","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-02-15",28,"Good","Ozone","26-091-0007",1
"Adrian, MI","10300","2021-02-16",27,"Good","Ozone","26-091-0007",1
"Adrian, MI","10300","2021-02-17",57,"Moderate","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-02-18",38,"Good","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-02-19",57,"Moderate","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-02-20",83,"Moderate","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-02-21",74,"Moderate","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-02-22",53,"Moderate","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-02-23",42,"Good","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-02-24",43,"Good","Ozone","26-091-0007",1
"Adrian, MI","10300","2021-02-25",38,"Good","Ozone","26-091-0007",1
"Adrian, MI","10300","2021-02-26",46,"Good","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-02-27",57,"Moderate","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-02-28",52,"Moderate","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-03-01",36,"Good","Ozone","26-091-0007",1
"Adrian, MI","10300","2021-03-02",34,"Good","Ozone","26-091-0007",1
"Adrian, MI","10300","2021-03-03",47,"Good","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-03-04",32,"Good","Ozone","26-091-0007",1
"Adrian, MI","10300","2021-03-05",38,"Good","Ozone","26-091-0007",1
"Adrian, MI","10300","2021-03-06",38,"Good","Ozone","26-091-0007",1
"Adrian, MI","10300","2021-03-07",40,"Good","Ozone","26-091-0007",1
"Adrian, MI","10300","2021-03-08",53,"Moderate","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-03-09",74,"Moderate","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-03-10",62,"Moderate","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-03-11",37,"Good","Ozone","26-091-0007",1
"Adrian, MI","10300","2021-03-12",41,"Good","Ozone","26-091-0007",1
"Adrian, MI","10300","2021-03-13",41,"Good","Ozone","26-091-0007",1
"Adrian, MI","10300","2021-03-14",40,"Good","Ozone","26-091-0007",1
"Adrian, MI","10300","2021-03-15",37,"Good","Ozone","26-091-0007",1
"Adrian, MI","10300","2021-03-16",36,"Good","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-03-17",69,"Moderate","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-03-18",35,"Good","Ozone","26-091-0007",1
"Adrian, MI","10300","2021-03-19",35,"Good","Ozone","26-091-0007",1
"Adrian, MI","10300","2021-03-20",45,"Good","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-03-21",45,"Good","Ozone","26-091-0007",1
"Adrian, MI","10300","2021-03-22",45,"Good","Ozone","26-091-0007",1
"Adrian, MI","10300","2021-03-23",43,"Good","Ozone","26-091-0007",1
"Adrian, MI","10300","2021-03-24",40,"Good","Ozone","26-091-0007",1
"Adrian, MI","10300","2021-03-25",31,"Good","Ozone","26-091-0007",1
"Adrian, MI","10300","2021-03-26",28,"Good","Ozone","26-091-0007",1
"Adrian, MI","10300","2021-03-27",51,"Moderate","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-03-28",31,"Good","Ozone","26-091-0007",1
"Adrian, MI","10300","2021-03-29",39,"Good","Ozone","26-091-0007",1
"Adrian, MI","10300","2021-03-30",46,"Good","Ozone","26-091-0007",1
"Adrian, MI","10300","2021-03-31",34,"Good","Ozone","26-091-0007",1
"Akron, OH","10420","2021-01-01",32,"Good","PM2.5","39-153-0023",3
"Akron, OH","10420","2021-01-02",15,"Good","PM2.5","39-153-0017",2
"Akron, OH","10420","2021-01-03",26,"Good","PM2.5","39-153-0017",2
"Akron, OH","10420","2021-01-04",30,"Good","PM2.5","39-153-0023",3
"Akron, OH","10420","2021-01-05",40,"Good","PM2.5","39-153-0017",2
"Akron, OH","10420","2021-01-06",45,"Good","PM2.5","39-153-0017",2
"Akron, OH","10420","2021-01-07",27,"Good","PM2.5","39-153-0017",3
"Akron, OH","10420","2021-01-08",27,"Good","PM2.5","39-153-0017",2
"Akron, OH","10420","2021-01-09",36,"Good","PM2.5","39-153-0017",2
"Akron, OH","10420","2021-01-10",68,"Moderate","PM2.5","39-153-0017",3
"Akron, OH","10420","2021-01-11",72,"Moderate","PM2.5","39-153-0017",2
"Akron, OH","10420","2021-01-12",59,"Moderate","PM2.5","39-153-0017",2
"Akron, OH","10420","2021-01-13",69,"Moderate","PM2.5","39-153-0023",3
"Akron, OH","10420","2021-01-14",54,"Moderate","PM2.5","39-153-0017",2
"Akron, OH","10420","2021-01-15",37,"Good","PM2.5","39-153-0017",2
"Akron, OH","10420","2021-01-16",37,"Good","PM2.5","39-153-0023",3
"Akron, OH","10420","2021-01-17",25,"Good","PM2.5","39-153-0017",2
"Akron, OH","10420","2021-01-18",22,"Good","PM2.5","39-153-0017",2
"Akron, OH","10420","2021-01-19",47,"Good","PM2.5","39-153-0017",3
"Akron, OH","10420","2021-01-20",23,"Good","PM2.5","39-153-0017",2
"Akron, OH","10420","2021-01-21",26,"Good","PM2.5","39-153-0017",2
"Akron, OH","10420","2021-01-22",20,"Good","PM2.5","39-153-0017",3
"Akron, OH","10420","2021-01-23",13,"Good","PM2.5","39-153-0017",2
"Akron, OH","10420","2021-01-24",33,"Good","PM2.5","39-153-0017",2
"Akron, OH","10420","2021-01-25",62,"Moderate","PM2.5","39-153-0023",3
"Akron, OH","10420","2021-01-26",34,"Good","PM2.5","39-153-0017",2
"Akron, OH","10420","2021-01-27",17,"Good","PM2.5","39-153-0017",2
"Akron, OH","10420","2021-01-28",13,"Good","PM2.5","39-153-0023",3
"Akron, OH","10420","2021-01-29",1,"Good","SO2","39-153-0017",2
"Akron, OH","10420","2021-01-30",1,"Good","SO2","39-153-0017",2
"Akron, OH","10420","2021-01-31",43,"Good","PM2.5","39-153-0023",3
"Akron, OH","10420","2021-02-01",0,"Good","SO2","39-153-0025",2
"Akron, OH","10420","2021-02-02",0,"Good","SO2","39-153-0025",2
"Akron, OH","10420","2021-02-03",22,"Good","PM2.5","39-153-0017",3
"Akron, OH","10420","2021-02-04",4,"Good","SO2","39-153-0017",2
"Akron, OH","10420","2021-02-05",22,"Good","PM2.5","39-153-0017",2
"Akron, OH","10420","2021-02-06",31,"Good","PM2.5","39-153-0017",3
"Akron, OH","10420","2021-02-07",40,"Good","PM2.5","39-153-0017",2
"Akron, OH","10420","2021-02-08",44,"Good","PM2.5","39-153-0017",2
"Akron, OH","10420","2021-02-09",58,"Moderate","PM2.5","39-153-0023",3
"Akron, OH","10420","2021-02-10",58,"Moderate","PM2.5","39-153-0017",2
"Akron, OH","10420","2021-02-11",27,"Good","PM2.5","39-153-0017",2
"Akron, OH","10420","2021-02-12",46,"Good","PM2.5","39-153-0023",3
"Akron, OH","10420","2021-02-13",42,"Good","PM2.5","39-153-0017",2
"Akron, OH","10420","2021-02-14",43,"Good","PM2.5","39-153-0017",2
"Akron, OH","10420","2021-02-15",40,"Good","PM2.5","39-153-0017",3
"Akron, OH","10420","2021-02-16",23,"Good","PM2.5","39-153-0017",2
"Akron, OH","10420","2021-02-17",1,"Good","SO2","39-153-0017",2
"Akron, OH","10420","2021-02-18",54,"Moderate","PM2.5","39-153-0023",3
"Akron, OH","10420","2021-02-19",56,"Moderate","PM2.5","39-153-0017",2
"Akron, OH","10420","2021-02-20",74,"Moderate","PM2.5","39-153-0017",2
"Akron, OH","10420","2021-02-21",72,"Moderate","PM2.5","39-153-0017",3
"Akron, OH","10420","2021-02-22",30,"Good","PM2.5","39-153-0017",2
"Akron, OH","10420","2021-02-23",29,"Good","PM2.5","39-153-0017",2
"Akron, OH","10420","2021-02-24",34,"Good","PM2.5","39-153-0017",3
"Akron, OH","10420","2021-02-25",14,"Good","PM2.5","39-153-0017",2
"Akron, OH","10420","2021-02-26",33,"Good","PM2.5","39-153-0017",2
"Akron, OH","10420","2021-02-27",40,"Good","PM2.5","39-153-0017",3
"Akron, OH","10420","2021-02-28",32,"Good","PM2.5","39-153-0017",2
"Albany, GA","10500","2021-01-01",32,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2021-01-02",26,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2021-01-03",30,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2021-01-04",41,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2021-01-05",29,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2021-01-06",45,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2021-01-07",37,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2021-01-08",32,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2021-01-09",36,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2021-01-10",65,"Moderate","PM2.5","13-095-0007",1
"Albany, GA","10500","2021-01-11",52,"Moderate","PM2.5","13-095-0007",1
"Albany, GA","10500","2021-01-12",35,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2021-01-13",40,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2021-01-14",56,"Moderate","PM2.5","13-095-0007",1
"Albany, GA","10500","2021-01-15",33,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2021-01-16",37,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2021-01-17",43,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2021-01-18",45,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2021-01-19",92,"Moderate","PM2.5","13-095-0007",1
"Albany, GA","10500","2021-01-20",78,"Moderate","PM2.5","13-095-0007",1
"Albany, GA","10500","2021-01-21",70,"Moderate","PM2.5","13-095-0007",1
"Albany, GA","10500","2021-01-22",24,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2021-01-23",33,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2021-01-24",39,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2021-01-25",38,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2021-01-26",51,"Moderate","PM2.5","13-095-0007",1
"Albany, GA","10500","2021-01-27",21,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2021-01-28",23,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2021-01-29",40,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2021-01-30",56,"Moderate","PM2.5","13-095-0007",1
"Albany, GA","10500","2021-01-31",31,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2021-02-01",30,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2021-02-02",25,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2021-02-03",55,"Moderate","PM2.5","13-095-0007",1
"Albany, GA","10500","2021-02-04",89,"Moderate","PM2.5","13-095-0007",1
"Albany, GA","10500","2021-02-05",26,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2021-02-06",16,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2021-02-07",35,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2021-02-08",34,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2021-02-09",25,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2021-02-10",29,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2021-02-11",20,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2021-02-12",27,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2021-02-13",7,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2021-02-14",9,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2021-02-15",15,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2021-02-16",23,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2021-02-17",45,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2021-02-18",16,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2021-02-19",30,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2021-02-20",33,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2021-02-21",27,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2021-02-22",30,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2021-02-23",44,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2021-02-24",73,"Moderate","PM2.5","13-095-0007",1
"Albany, GA","10500","2021-02-25",71,"Moderate","PM2.5","13-095-0007",1
"Albany, GA","10500","2021-02-26",65,"Moderate","PM2.5","13-095-0007",1
"Albany, GA","10500","2021-02-27",42,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2021-02-28",40,"Good","PM2.5","13-095-0007",1
"Albany-Schenectady-Troy, NY","10580","2021-01-01",36,"Good","PM2.5","36-001-0005",3
"Albany-Schenectady-Troy, NY","10580","2021-01-02",28,"Good","Ozone","36-091-0004",3
"Albany-Schenectady-Troy, NY","10580","2021-01-03",38,"Good","PM2.5","36-001-0005",3
"Albany-Schenectady-Troy, NY","10580","2021-01-04",56,"Moderate","PM2.5","36-001-0005",3
"Albany-Schenectady-Troy, NY","10580","2021-01-05",39,"Good","PM2.5","36-001-0005",3
"Albany-Schenectady-Troy, NY","10580","2021-01-06",27,"Good","PM2.5","36-001-0005",3
"Albany-Schenectady-Troy, NY","10580","2021-01-07",30,"Good","Ozone","36-001-0012",3
"Albany-Schenectady-Troy, NY","10580","2021-01-08",27,"Good","Ozone","36-091-0004",3
"Albany-Schenectady-Troy, NY","10580","2021-01-09",36,"Good","Ozone","36-091-0004",3
"Albany-Schenectady-Troy, NY","10580","2021-01-10",30,"Good","Ozone","36-091-0004",3
"Albany-Schenectady-Troy, NY","10580","2021-01-11",57,"Moderate","PM2.5","36-001-0005",3
"Albany-Schenectady-Troy, NY","10580","2021-01-12",74,"Moderate","PM2.5","36-001-0005",3
"Albany-Schenectady-Troy, NY","10580","2021-01-13",75,"Moderate","PM2.5","36-001-0005",3
"Albany-Schenectady-Troy, NY","10580","2021-01-14",86,"Moderate","PM2.5","36-001-0005",3
"Albany-Schenectady-Troy, NY","10580","2021-01-15",82,"Moderate","PM2.5","36-001-0005",3
"Albany-Schenectady-Troy, NY","10580","2021-01-16",29,"Good","Ozone","36-001-0012",3
"Albany-Schenectady-Troy, NY","10580","2021-01-17",35,"Good","PM2.5","36-001-0005",3
"Albany-Schenectady-Troy, NY","10580","2021-01-18",31,"Good","Ozone","36-091-0004",3
"Albany-Schenectady-Troy, NY","10580","2021-01-19",29,"Good","Ozone","36-091-0004",3
"Albany-Schenectady-Troy, NY","10580","2021-01-20",33,"Good","Ozone","36-091-0004",3
"Albany-Schenectady-Troy, NY","10580","2021-01-21",33,"Good","PM2.5","36-001-0005",3
"Albany-Schenectady-Troy, NY","10580","2021-01-22",39,"Good","PM2.5","36-001-0005",3
"Albany-Schenectady-Troy, NY","10580","2021-01-23",33,"Good","Ozone","36-091-0004",3
"Albany-Schenectady-Troy, NY","10580","2021-01-24",35,"Good","Ozone","36-091-0004",3
"Albany-Schenectady-Troy, NY","10580","2021-01-25",39,"Good","PM2.5","36-001-0005",3
"Albany-Schenectady-Troy, NY","10580","2021-01-26",53,"Moderate","PM2.5","36-001-0005",3
"Albany-Schenectady-Troy, NY","10580","2021-01-27",52,"Moderate","PM2.5","36-001-0005",3
"Albany-Schenectady-Troy, NY","10580","2021-01-28",35,"Good","Ozone","36-091-0004",3
"Albany-Schenectady-Troy, NY","10580","2021-01-29",31,"Good","Ozone","36-091-0004",3
"Albany-Schenectady-Troy, NY","10580","2021-01-30",35,"Good","Ozone","36-091-0004",3
"Albany-Schenectady-Troy, NY","10580","2021-01-31",39,"Good","PM2.5","36-001-0005",3
"Albany-Schenectady-Troy, NY","10580","2021-02-01",38,"Good","PM2.5","36-001-0005",3
"Albany-Schenectady-Troy, NY","10580","2021-02-02",35,"Good","Ozone","36-091-0004",2
"Albany-Schenectady-Troy, NY","10580","2021-02-03",37,"Good","Ozone","36-091-0004",3
"Albany-Schenectady-Troy, NY","10580","2021-02-04",39,"Good","Ozone","36-091-0004",3
"Albany-Schenectady-Troy, NY","10580","2021-02-05",43,"Good","PM2.5","36-001-0005",3
"Albany-Schenectady-Troy, NY","10580","2021-02-06",40,"Good","Ozone","36-091-0004",3
"Albany-Schenectady-Troy, NY","10580","2021-02-07",46,"Good","PM2.5","36-001-0005",3
"Albany-Schenectady-Troy, NY","10580","2021-02-08",35,"Good","Ozone","36-091-0004",3
"Albany-Schenectady-Troy, NY","10580","2021-02-09",65,"Moderate","PM2.5","36-001-0005",3
"Albany-Schenectady-Troy, NY","10580","2021-02-10",43,"Good","PM2.5","36-001-0005",3
"Albany-Schenectady-Troy, NY","10580","2021-02-11",38,"Good","Ozone","36-091-0004",3
"Albany-Schenectady-Troy, NY","10580","2021-02-12",35,"Good","PM2.5","36-001-0012",3
"Albany-Schenectady-Troy, NY","10580","2021-02-13",36,"Good","Ozone","36-091-0004",3
"Albany-Schenectady-Troy, NY","10580","2021-02-14",40,"Good","PM2.5","36-001-0005",3
"Albany-Schenectady-Troy, NY","10580","2021-02-15",56,"Moderate","PM2.5","36-001-0005",3
"Albany-Schenectady-Troy, NY","10580","2021-02-16",42,"Good","PM2.5","36-001-0005",3
"Albany-Schenectady-Troy, NY","10580","2021-02-17",36,"Good","Ozone","36-091-0004",3
"Albany-Schenectady-Troy, NY","10580","2021-02-18",35,"Good","Ozone","36-091-0004",3
"Albany-Schenectady-Troy, NY","10580","2021-02-19",44,"Good","PM2.5","36-001-0005",3
"Albany-Schenectady-Troy, NY","10580","2021-02-20",40,"Good","Ozone","36-091-0004",3
"Albany-Schenectady-Troy, NY","10580","2021-02-21",40,"Good","Ozone","36-091-0004",3
"Albany-Schenectady-Troy, NY","10580","2021-02-22",44,"Good","PM2.5","36-001-0005",3
"Albany-Schenectady-Troy, NY","10580","2021-02-23",48,"Good","PM2.5","36-001-0005",3
"Albany-Schenectady-Troy, NY","10580","2021-02-24",44,"Good","Ozone","36-091-0004",3
"Albany-Schenectady-Troy, NY","10580","2021-02-25",39,"Good","Ozone","36-091-0004",3
"Albany-Schenectady-Troy, NY","10580","2021-02-26",41,"Good","Ozone","36-091-0004",3
"Albany-Schenectady-Troy, NY","10580","2021-02-27",39,"Good","Ozone","36-001-0012",3
"Albany-Schenectady-Troy, NY","10580","2021-02-28",54,"Moderate","PM2.5","36-001-0005",3
"Albany-Schenectady-Troy, NY","10580","2021-03-01",38,"Good","Ozone","36-091-0004",3
"Albany-Schenectady-Troy, NY","10580","2021-03-02",40,"Good","Ozone","36-091-0004",3
"Albany-Schenectady-Troy, NY","10580","2021-03-03",45,"Good","PM2.5","36-001-0005",3
"Albany-Schenectady-Troy, NY","10580","2021-03-04",41,"Good","Ozone","36-091-0004",3
"Albany-Schenectady-Troy, NY","10580","2021-03-05",42,"Good","Ozone","36-091-0004",3
"Albany-Schenectady-Troy, NY","10580","2021-03-06",36,"Good","Ozone","36-091-0004",3
"Albany-Schenectady-Troy, NY","10580","2021-03-07",39,"Good","Ozone","36-091-0004",3
"Albany-Schenectady-Troy, NY","10580","2021-03-08",43,"Good","Ozone","36-091-0004",3
"Albany-Schenectady-Troy, NY","10580","2021-03-09",43,"Good","PM2.5","36-001-0005",3
"Albany-Schenectady-Troy, NY","10580","2021-03-10",49,"Good","PM2.5","36-001-0005",3
"Albany-Schenectady-Troy, NY","10580","2021-03-11",64,"Moderate","PM2.5","36-001-0005",3
"Albany-Schenectady-Troy, NY","10580","2021-03-12",43,"Good","Ozone","36-091-0004",3
"Albany-Schenectady-Troy, NY","10580","2021-03-13",38,"Good","Ozone","36-091-0004",3
"Albany-Schenectady-Troy, NY","10580","2021-03-14",40,"Good","Ozone","36-091-0004",3
"Albany-Schenectady-Troy, NY","10580","2021-03-15",39,"Good","Ozone","36-091-0004",3
"Albany-Schenectady-Troy, NY","10580","2021-03-16",35,"Good","Ozone","36-091-0004",3
"Albany-Schenectady-Troy, NY","10580","2021-03-17",57,"Moderate","PM2.5","36-001-0005",3
"Albany-Schenectady-Troy, NY","10580","2021-03-18",55,"Moderate","PM2.5","36-001-0005",3
"Albany-Schenectady-Troy, NY","10580","2021-03-19",37,"Good","Ozone","36-091-0004",3
"Albany-Schenectady-Troy, NY","10580","2021-03-20",42,"Good","Ozone","36-091-0004",3
"Albany-Schenectady-Troy, NY","10580","2021-03-21",44,"Good","Ozone","36-091-0004",3
"Albany-Schenectady-Troy, NY","10580","2021-03-22",51,"Moderate","Ozone","36-091-0004",3
"Albany-Schenectady-Troy, NY","10580","2021-03-23",51,"Moderate","Ozone","36-091-0004",3
"Albany-Schenectady-Troy, NY","10580","2021-03-24",36,"Good","Ozone","36-091-0004",3
"Albany-Schenectady-Troy, NY","10580","2021-03-25",36,"Good","Ozone","36-091-0004",3
"Albany-Schenectady-Troy, NY","10580","2021-03-26",33,"Good","Ozone","36-001-0012",3
"Albany-Schenectady-Troy, NY","10580","2021-03-27",33,"Good","Ozone","36-091-0004",3
"Albany-Schenectady-Troy, NY","10580","2021-03-28",33,"Good","Ozone","36-001-0012",3
"Albany-Schenectady-Troy, NY","10580","2021-03-29",39,"Good","Ozone","36-091-0004",3
"Albany-Schenectady-Troy, NY","10580","2021-03-30",45,"Good","Ozone","36-091-0004",3
"Albany-Schenectady-Troy, NY","10580","2021-03-31",39,"Good","Ozone","36-091-0004",3
